word,tsne_2d_x,tsne_2d_y,tsne_3d_x,tsne_3d_y,tsne_3d_z,pca_2d_x,pca_2d_y
completed,9.069676,1.2450432,49.325256,-14.335849,12.556428,-0.14982057,0.06413343
guidelines.,-6.121721,-0.5206273,-65.03995,29.308704,1.0065982,0.12875043,0.064578116
explanation,-2.8073564,6.1560645,-33.058365,27.225002,23.377874,0.02295581,0.020188762
names,12.390559,8.37553,-30.710041,-38.17193,27.944302,-0.1110191,-0.082819834
with,-0.33092847,-1.4437143,9.207895,9.788658,17.431383,-0.06462441,0.068428315
involved,5.032017,2.039962,35.140827,-16.827707,35.62689,-0.116931975,0.057033625
values,11.273127,7.4494443,-45.057316,-40.73508,34.847492,-0.15915653,-0.13439564
produce,15.096779,2.0575337,-1.285405,-46.255596,67.23498,-0.1495294,-0.052441027
few,6.364185,13.363324,66.51166,-35.82802,27.084822,-0.13032125,0.025995567
adhere,16.91027,-4.186113,17.904339,-72.93884,39.291565,-0.061462644,-0.014431391
joins).,9.308469,-17.124289,-23.773727,70.23761,20.54393,0.07476593,0.060653348
'%term%'.,-14.079599,1.994212,-5.13419,41.73728,-49.911736,0.13323322,-0.0418469
this,-2.615582,-4.174997,-3.7876592,37.308136,14.364398,0.05585602,0.02988531
json,-20.9805,4.588169,-39.868942,-59.054237,-12.756335,-0.05284674,-0.18683665
'yyyy-mm-dd',-15.574378,11.294747,-16.274015,-12.306949,-56.655598,0.127282,-0.05897155
full,9.80438,2.6142578,60.45779,1.3245422,10.5584545,-0.18424699,0.010898971
same,2.6910472,-5.5469265,20.304586,53.84767,9.261965,-0.040816292,0.038511746
the,-0.3909796,-3.8880687,-8.02298,-20.70905,4.2771416,-0.11007743,0.010053535
on,1.2932436,-3.6516137,16.604021,-6.092137,40.665657,-0.110987075,0.015804274
`history`,-13.408283,9.730665,-30.808372,-23.412245,-35.04794,0.20260967,-0.16048372
translated,0.45505327,4.857431,7.1037383,-0.29279882,-28.568907,-0.0060621933,0.019540584
`question`,-12.573058,10.540578,-46.20399,-20.175648,-42.627514,0.20089239,-0.16874583
syntactically,2.1403549,6.1157823,50.131947,34.29879,-20.814655,0.013439348,0.025486093
if,-2.5140367,-9.920735,-6.065176,35.221153,60.711666,-0.11979179,-0.030997876
{history},-8.032075,9.240841,-22.303608,-6.2718987,-27.569458,0.21845505,-0.021256398
"insufficient,",3.9965096,14.949545,86.211586,-15.96946,11.946349,0.049991053,0.05751359
appropriate.,12.3091,-7.909005,66.61208,-19.116816,-26.50473,0.07255624,0.16067635
german.,7.8403554,-17.892641,0.24368303,73.77903,10.965039,0.050325554,0.11415337
output,14.21809,3.0195034,12.181894,-39.693718,66.36587,-0.17403376,-0.09393304
appropriate,11.45118,-6.920529,55.38613,-25.352795,-22.841286,-0.10983729,0.053280085
"information,",8.95595,-11.05753,41.723682,12.82232,-38.453426,0.055501793,0.026344096
how,-1.8898505,-6.684832,15.362565,16.289698,39.38019,-0.061405618,-0.0030578983
insufficient,4.8440943,14.488356,76.90973,-26.973125,15.40366,-0.09971778,0.019819068
true,0.73648953,-11.354565,39.855713,-54.812614,-14.501408,-0.15008326,0.026993547
partial,7.4009113,11.992801,53.185703,-38.73622,36.95974,-0.11377489,-0.0032878504
you,2.5593293,-7.845445,-6.299337,-50.76533,-16.166845,-0.1017831,-0.0011120399
ask,-0.72593296,12.02018,-26.921585,-0.059747506,42.60932,-0.08686666,-0.060271915
"""items"":",-12.719082,-1.2107267,-19.31797,59.800182,-53.13084,0.11527464,-0.028613705
clearly,5.3312526,-7.459966,51.86731,30.60128,0.06207757,-0.052865893,0.07972983
to,2.108474,-2.2985218,0.352832,-3.3483393,28.899551,-0.09286591,0.08518497
value,11.127646,7.0793853,-55.74819,-45.464966,33.290833,-0.18743716,-0.17106526
explanations,-2.8764555,7.226569,-26.72586,24.493479,10.768612,0.07013501,0.06616075
ilike,0.4948979,-6.3301888,18.01629,57.59714,35.43742,-0.019810881,-0.0010921919
before.,4.206734,-13.056809,9.55307,-15.348888,-10.849837,0.073408775,0.121267594
`date`,-14.259045,10.323478,-30.51579,-21.084063,-50.575714,0.18223701,-0.19917226
note:,-9.950939,0.83845055,-46.208885,51.66476,-21.86928,0.10433259,0.052518982
explain,-2.00567,6.106998,-29.599585,27.844637,36.11771,-0.028208185,0.006664277
format.,-7.524745,-4.920893,9.22475,-15.512527,-54.684353,0.10980622,0.038380276
tables,12.681899,11.8832035,-25.28911,-52.322247,49.369133,-0.08566154,-0.101053305
explanation:,-3.8610947,5.6830015,-44.209595,35.54693,19.68615,0.15597044,0.041423358
what,-2.7620482,-6.566739,17.835629,27.621881,31.628569,-0.02823302,0.0055885543
